"id_survey","date_of_survey","ticket_system","overall_rating","customer_service","features","value_for_money","ease_of_use","likelihood_to_recommend","overall_text"
"T_02917",2024-12-04,"Zendesk",,,,,,,
"T_04270",2024-12-22,"Zendesk",,,,,,,
"T_00244",2024-10-07,"Zoho Desk",4,4,4,5,4,9,"Excellent"
"T_04056",2024-12-19,"Freshdesk",,,,,,,
"T_03136",2024-12-07,"Zendesk",4,2,4,4,4,9,"Customer queries used to be managed in Excel. Still, it was time-consuming to track history and the status of responses could not be managed, resulting in cases where there were omissions in responses. However, with the introduction of Zendesk, it is possible to aggregate by tags and monitor trends easily. Since it is possible to manage match/no match status, there are no match omissions."
"T_02843",2024-12-03,"Freshdesk",5,4,5,5,5,10,"Customer care is a click awayAlways presentableno followup is requiredall the best"
"T_04864",2024-12-30,"Zendesk",4,3,4,4,4,6,"Zendesk makes our support team more efficient and organized. It also creates accountability in this department. This accountability enables me to have insight into the work my team is doing as well as provide detailed reports to our customers as needed."
"T_02008",2024-11-17,"Zendesk",,,,,,,
"T_00219",2024-10-06,"Freshdesk",4,3,4,5,3,8,"I've been using Freshdesk on and off at various ventures over the past three years. I find that it is a great place to begin adding support for your services if you don't already have support, as it is easy to set up and offers all the minimums you need to get rolling at their free tier. I found that is was great for handling between 0 - 250 requests per day with a few agents, however it got clunkier as we tried to scale this approach toward 500-1000 requests/day. The main issues that we ran into were UI complexity and constantly having to jump around to get things done - whether that was referencing a customer's information in detail or jumping between conversations. It is also important to note that their embeddable support widgets are not the best looking, but their API makes up for it - I strongly recommend you write your own front-end components for this if you intend to operate at scale.Overall, Freshdesk offers a great starting place of you don't have any support service in place and I think it will serve most small to medium companies perfectly."
"T_00048",2024-10-02,"Zoho Desk",4,2,4,5,5,6,"Allowed initial tracking of client issues for our software"
"T_00834",2024-10-22,"Zoho Desk",,,,,,,
"T_03387",2024-12-10,"Zendesk",5,4,5,5,4,9,"I loved using this software and we have used this software for quite long time and still i cannot forget how easy and nice it was to handle."
"T_01595",2024-11-09,"Zendesk",5,2,4,4,4,7,"Pros:Ease of use, Friendly user interface(UI)"
"T_00821",2024-10-21,"Jira Service Management",5,4,5,4,5,9,"Pros:Seamless Collaboration and Communication"
"T_02227",2024-11-22,"Freshdesk",,,,,,,
"T_00787",2024-10-20,"otrs",,,,,,,
"T_03437",2024-12-11,"Freshdesk",,,,,,,
"T_01608",2024-11-09,"Jira Service Management",4,4,3,2,2,5,"Overall, Jira Service Desk provides a well rounded package for anyone looking to build a customer portal for helpdesk-type teams. It's an excellent choice if your company is already using Jira Software or Jira Business because the use workflow and editing workflow are very familiar and are one in the same for many things (e.g. Workflows and Screens)"
"T_02697",2024-12-01,"Zendesk",,,,,,,
"T_04377",2024-12-24,"Zoho Desk",5,5,5,5,5,10,"Pros:I use this software to notify the clients about any changes in the business such as discounts offer and promotions but also handling client is complaints by giving them feedback through the service."
"T_03547",2024-12-12,"Zendesk",4,2,4,5,4,7,"Zendesk has been helpful for us to help collect our emails, form captures and calls. Sort them within a ticketing system, and prioritize the tickets as needed. And send them to the person who will reply. Not having someone who has to answer the phone, and then pass that message to the appropriate person is a big help for us."
"T_01070",2024-10-28,"Freshdesk",5,4,4,4,4,8,"It has been an easy experience to learn the system, especially as the administrator role and setting everything up."
"T_03226",2024-12-08,"Zendesk",4,5,4,4,4,8,"Pros:you can manage multiple support areas, with multiple service teams without problems, it is easy to understand and use, the interface is light and very functional, excellent integration with social networks and other platforms (like Wordpress), it is extremely easy to track the behavior of a ticket, the dashboard is very very explicit. Excellent..!"
"T_01435",2024-11-06,"Zendesk",,,,,,,
"T_03399",2024-12-10,"Zendesk",,,,,,,
"T_01885",2024-11-15,"Freshdesk",,,,,,,
"T_03092",2024-12-06,"ServiceNow",,,,,,,
"T_02267",2024-11-23,"Zoho Desk",,,,,,,
"T_01675",2024-11-11,"Freshdesk",,,,,,,
"T_01561",2024-11-09,"Zoho Desk",,,,,,,
"T_02266",2024-11-23,"Zoho Desk",5,3,5,5,5,9,"Logging and reporting of user support requests."
"T_02251",2024-11-22,"Zendesk",3,1,3,2,3,4,"If you use all Zendesk Suite, Chat it's a great add-on, and it's cost per agent it is fair enough when compared to all the metrics you can gather."
"T_02600",2024-11-29,"Jira Service Management",,,,,,,
"T_01992",2024-11-17,"Freshdesk",4,4,3,4,4,7,"We implemented Freshdesk to manage IT Support without spending months in designing forms and workflows, focusing more on what instead of how, in fact the deployment of the solution (at least for basic configuration) is really straightforward."
"T_02414",2024-11-26,"Zoho Desk",5,4,5,5,5,9,"Zoho Desk is great being part of Zoho One if you can subscribe to this all in one application as it seamlessly integrates with Zoho CRM and the other tools. I highly recommend."
"T_02258",2024-11-22,"Jira Service Management",,,,,,,
"T_02210",2024-11-22,"Zoho Desk",5,2,4,5,4,7,"Zoho Desk is a comprehensive customer support and help desk solution that offers a range of features to help businesses manage and respond to customer support tickets. Its multichannel support, automation, collaboration, analytics, and customization tools make it a great option for businesses of all sizes looking to improve their customer support operations."
"T_04197",2024-12-21,"Zendesk",4,3,4,3,5,7,"Pros:Zendesk Suite provides an user-friendly interface, you can easily get in contact with the customers/users through support tickets, the system organization is pretty neat as you can establish which member of the support team gets assigned the tickets."
"T_01734",2024-11-12,"Freshdesk",5,4,5,5,5,9,"It keeps us organized and makes our support of our product into a ticketing system.We know who has responsded and what is still open.It's a must have for our organization."
"T_02906",2024-12-04,"Freshdesk",5,3,4,4,4,7,"basic help desk functions like customer service, ticket tracking, logging calls etc."
"T_02593",2024-11-29,"Zendesk",,,,,,,
"T_03877",2024-12-17,"Zoho Desk",5,4,5,4,5,10,"I have been one of the decision maker in my previous company to decide buying Zoho Desk after our trial period, because of its clean interface and facility to be used to everyone including those without experience in team work organization online."
"T_02213",2024-11-22,"Zoho Desk",5,3,5,5,5,9,"Es la mejor herramienta de servicio al cliente y manejo de oportunidades para cerrar negocios"
"T_03075",2024-12-06,"Zendesk",5,5,5,5,5,10,"En general me he sentido comodo usando zendesk para interactuar con mis clientes externos e internos, realizando soporte al cliente."
"T_04334",2024-12-23,"Freshdesk",,,,,,,
"T_02083",2024-11-18,"Jira Service Management",4,2,5,5,4,9,"Pros:Flexibility, powerful features, smooth operation and overall the product works as designed.Enables large scale issue handling."
"T_01413",2024-11-06,"Freshdesk",,,,,,,
"T_01892",2024-11-15,"Zendesk",4,4,4,4,4,6,"Overall, Zendesk is an indispensable part of our company. It has increased our productivity and customer satisfaction."
"T_03252",2024-12-09,"Zoho Desk",,,,,,,
"T_03739",2024-12-15,"Zoho Desk",,,,,,,
"T_00092",2024-10-03,"Zoho Desk",4,3,4,4,5,7,"Pros:We can very much customize our workflow.the integration is very reliable with product another great feature is its customer tracking/information."
"T_01607",2024-11-09,"Jira Service Management",,,,,,,
"T_00520",2024-10-14,"Zoho Desk",4,3,4,5,4,7,"Overall, its been a great software and meets the business use case well."
"T_02787",2024-12-02,"Jira Service Management",,,,,,,
"T_01797",2024-11-13,"Zendesk",5,4,4,5,5,9,"Pros:It's very easy-to-use tool with tones of free great apps. By far, it has great usability. Also analytical tools are great."
"T_02349",2024-11-24,"Jira Service Management",,,,,,,
"T_00430",2024-10-11,"Freshdesk",5,4,5,5,5,9,"We use Freshdesk daily. The platforms and other services we use with our educational site all use Freshdesk for their support ticket system. It ensures we have a great product as so many high powered companies trust and use the same platform."
"T_02597",2024-11-29,"ServiceNow",,,,,,,
"T_02519",2024-11-28,"Freshdesk",4,3,3,5,5,5,"A very good entry point with a lot of features and a robust marketplace."
"T_04498",2024-12-25,"Zendesk",5,3,5,4,5,8,"We're able to centralize our support structure and set parameters for good support and report on those metrics."
"T_01417",2024-11-06,"Freshdesk",,,,,,,
"T_00833",2024-10-22,"Zoho Desk",,,,,,,
"T_02374",2024-11-25,"Zoho Desk",5,4,5,5,4,8,"Excelent solution for our it company . Is easy to make a correct follow of the tickets our customer open. Mobil app is a great tool"
"T_00937",2024-10-25,"Zoho Desk",,,,,,,
"T_00656",2024-10-17,"Zendesk",,,,,,,
"T_00289",2024-10-08,"Zoho Desk",,,,,,,
"T_04540",2024-12-26,"Zoho Desk",4,3,4,4,4,9,"This is an useful application that do not require too much configuration to start working with.You do not to have any support email address in your mail server, Zoho desk allows you to create multiple support email accounts to support your customers or endusers."
"T_04534",2024-12-26,"Zoho Desk",,,,,,,
"T_00261",2024-10-07,"Freshdesk",,,,,,,
"T_04324",2024-12-23,"Zoho Desk",3,4,4,4,4,6,"Since we have been trailing the paid version of the helpdesk we have found some very good features, I do like the way the reporting looks and the ability toexport the reports, one downside is that when you change the report filters then you are unable to export, another problem I find is when I have completed a ticket and closed it sometimes I have to press the back button several times to get back to the open tickets."
"T_00466",2024-10-12,"Freshdesk",5,4,5,5,5,10,"Pros:The support is amazing, anytime we need anything they are available to help quickly and with detailed replies."
"T_01143",2024-10-30,"Freshdesk",,,,,,,
"T_04347",2024-12-23,"Zendesk",5,2,5,4,3,8,"ZenDesk is a solid cloud-based tool and very good value for money.We operate it since 2015 and it doesn't give us many problems, we probably not using it to its full capacity as it is mostly used as a dispatch tool hooked up with online forms."
"T_04613",2024-12-27,"Zoho Desk",,,,,,,
"T_03059",2024-12-06,"Freshdesk",4,2,4,4,5,8,"Missing emails, certain thread histories that aren't displayed, and they just Regarding the matter of filters in the beginning, there are times when it doesn't work effectively and some tickets don't appear even after I screen All entries and appropriately arrange them."
"T_00460",2024-10-12,"Freshdesk",4,4,3,5,4,9,"Pros:Freshdesk has been a breeze to set up and use effectively. My team loves how easy it is to quickly work through tickets. We heavily use Trello and their integration is top tier.When issues do come up, the support team is always available to answer my questions. Even when it doesn't support a particular workflow, I've always been given excellent suggestions to work around its limitations."
"T_02512",2024-11-28,"Freshdesk",4,4,5,5,4,8,"Freshdesk is most feasible for mid-sized companies. It also performs well with several large companies, however, it is probably not a good choice for large companies where blending with different apps and custom development is necessary. It is also ideal for small businesses and sole proprietorships, as they have very affordable free and paid plans. Even if you only have a 1-person helpdesk, having cases that are customized to a case management system, rather than using email, will make your existence much more convenient."
"T_01281",2024-11-03,"Freshdesk",,,,,,,
"T_04590",2024-12-26,"Jira Service Management",,,,,,,
"T_04362",2024-12-23,"Zendesk",,,,,,,
"T_02208",2024-11-21,"otrs",,,,,,,
"T_04680",2024-12-28,"Zoho Desk",,,,,,,
"T_03805",2024-12-16,"Zoho Desk",,,,,,,
"T_03028",2024-12-05,"Jira Service Management",4,3,3,5,4,8,"Pros:How easy it is to use. It has been easy for us to deploy and expand on campus.We have lot of users that are have commented on how easy it is to use over our old product."
"T_04767",2024-12-29,"Freshdesk",4,3,5,5,5,8,"Due to our growth in business, it was getting very hard to keep track of all the support tickets on a spreadsheet. Freshdesk is an easy to use software with a clean interface and provides all the features required. Great platform to provide support to customers"
"T_02003",2024-11-17,"Zendesk",,,,,,,
"T_03327",2024-12-10,"Zoho Desk",5,4,5,5,5,9,"Overall we are enjoying with the Zoho desk features.We have configured it with our internal IT department for resolving ticketing of internal employees."
"T_03594",2024-12-13,"Zoho Desk",,,,,,,
"T_00969",2024-10-25,"otrs",4,2,5,5,4,8,"Pros:You can manage your support tickets as you please.Merge issues, whatever the channel is: email, telephone support.And if you need some more juice, there is their API: integrate it with other systems like odoo or vTiger.Also, it helps you to manage billing hours, SLA, remaining support time for the customer."
"T_00277",2024-10-07,"Jira Service Management",5,5,5,5,5,9,"I liked jira , it really help me in my work"
"T_03107",2024-12-07,"Zoho Desk",,,,,,,
"T_02214",2024-11-22,"Zoho Desk",5,5,5,5,5,8,"Good to use"
"T_04036",2024-12-19,"Freshdesk",,,,,,,
"T_01250",2024-11-02,"Zendesk",4,2,4,4,5,8,"Zendesk has made issue resolution possible across a broad company"
"T_00792",2024-10-21,"Zoho Desk",,,,,,,
"T_02475",2024-11-27,"Zendesk",,,,,,,
"T_00325",2024-10-08,"ServiceNow",5,3,5,5,5,8,"Best overall, have been effectively working with ITSM modules and working with Incidents, problems, change , catalog items ."
"T_01850",2024-11-14,"Zendesk",5,4,5,5,5,7,"Most of our driver's inquiry are communicated through Zendesk so it greatly affect our business if we can't be able to use this tool. It's very essential to us."
"T_03552",2024-12-12,"Zendesk",,,,,,,
"T_04514",2024-12-25,"Jira Service Management",5,4,5,4,5,7,"Our company users jira service management software to handle the support services like IT."
"T_03829",2024-12-16,"Freshdesk",5,2,5,4,5,7,"The freshdesk made our company's tasks run faster and more efficiently, ending a major gap of lack of communication between teams."
"T_02522",2024-11-28,"Freshdesk",,,,,,,
"T_00970",2024-10-25,"otrs",,,,,,,
"T_04320",2024-12-23,"Zoho Desk",5,3,5,4,5,9,"Pros:The most important thing it's to have all channels just with one platform and can make tracking to my support service."
"T_04800",2024-12-29,"Zendesk",5,5,5,5,5,10,"Pros:Easy to Manage and Integration with many third party services."
"T_02758",2024-12-02,"Freshdesk",4,2,4,4,4,7,"Its provided me with a proper format to which tickets can be logged. A new look at what is needed in a ticketing system and how much it can benefit a company."
"T_04490",2024-12-25,"Zendesk",3,5,4,5,5,3,"Overall it was decent maybe not applicable in the veterinary setting but in other settings I can see it being very successful"
"T_03585",2024-12-13,"Zoho Desk",4,5,4,4,4,8,"It helps in managing assets inventory, ticketing. It increase team efficiency to work with better trackability and meeting of SLA."
"T_03438",2024-12-11,"Freshdesk",5,5,5,5,5,9,"Freshdesk is a great utility and platform for ticketing, ticket management, and support. We have enhanced our support standards with Freshdesk for local issues within the organization. We have categorized our Dev team to use Zendesk and our IT Team to use Fresh Desk to support more regular issues with staff devices."
"T_00858",2024-10-23,"Zoho Desk",,,,,,,
"T_01679",2024-11-11,"Freshdesk",,,,,,,
"T_00781",2024-10-20,"Jira Service Management",,,,,,,
"T_02471",2024-11-27,"Freshdesk",5,4,5,4,5,9,"Very good."
"T_02313",2024-11-24,"Zoho Desk",,,,,,,
"T_02504",2024-11-28,"Zoho Desk",4,3,4,4,4,6,"It seems like it might work for our business we did not have enough time to set up the page to see if it works to how we like it. they should make the free version free until it starts being used. I really only had enough time to see how it worked but not actually test it internally."
"T_02302",2024-11-23,"Zendesk",5,4,4,4,4,8,"Pros:Zendesk is flexible and easy to deploy, and you can install it quickly and get started in minutes. It integrates all your main support channels to enable fast delivery and effortless tracking. Plus, the platform is supported by time-saving widgets for streamlined conversations, automation, sharing, ticket views, and triggers."
"T_02819",2024-12-03,"Zoho Desk",,,,,,,
"T_03832",2024-12-16,"Freshdesk",4,3,4,4,4,6,"It's been a learning experience for us. Overall, I think our service team is stronger as a result of FD, but I also think there is more we could be getting out of FD."
"T_03529",2024-12-12,"Freshdesk",,,,,,,
"T_02248",2024-11-22,"Zendesk",5,2,4,4,4,7,"Pros:As a human resource analyst it is my job to see to it that employees are happy and approach their Job with ease and that it is exactly especially the customer service representatives. This is exactly the impact zendex has on our company. It is very easy to use and very user friendly. Just love all the reporting it does provide. I will highly recommend."
"T_01462",2024-11-07,"Zoho Desk",,,,,,,
"T_03521",2024-12-12,"Zoho Desk",,,,,,,
"T_02294",2024-11-23,"Zendesk",,,,,,,
"T_02520",2024-11-28,"Freshdesk",4,3,3,4,4,7,"If you don't need dependent fields via freshdesk API and you can live with only sending mails to one recipient at a time, than I can unreservedly recommend freshdesk. In spite of all that, I like freshdesk because of it's ease to use and the fast responding support."
"T_02667",2024-12-01,"Zoho Desk",5,4,5,4,5,7,"Pros:Zoho Desk provides a cloud solution to manage helpdesk tasks. I apreciate the Functionalities, the solution is easy to use . Il is scalable and can be started immadiately"
"T_02708",2024-12-01,"ServiceNow",4,1,4,4,4,8,"It has been a great journey with SNow so far and we use this on a everyday basis for our projects intake and regular tactical and enhancement requests."
"T_02352",2024-11-24,"Jira Service Management",,,,,,,
"T_00714",2024-10-19,"Zoho Desk",,,,,,,
"T_00117",2024-10-03,"Jira Service Management",5,5,5,4,5,9,"its a great experience using JIRA and I would recommend it to use ."
"T_03518",2024-12-12,"Zoho Desk",,,,,,,
"T_02411",2024-11-26,"Zoho Desk",,,,,,,
"T_02086",2024-11-18,"otrs",5,3,4,4,3,7,"Pros:OTRS is a powerfull and complete tool to help IT engenieers to assist customers and internal enterprise clients."
"T_01580",2024-11-09,"Freshdesk",,,,,,,
"T_03109",2024-12-07,"Zoho Desk",4,4,4,4,5,7,"Very good experience it is helping me grow my business efficiently."
"T_03678",2024-12-14,"Freshdesk",5,4,5,5,4,10,"I explored Freshdesk quite in-depth and was not only amazed by the availability of multiple features but also the comprehensive of all the available features. Its a commendable effort from the firm. Hope to see more and more features getting added in the future so that it can maintain its position as a one-stop solution for every possible need of a firm w.r.t. customer service."
"T_04776",2024-12-29,"Zendesk",4,4,4,4,4,3,"My overall experience with Zendesk Suite as a user for almost 4 years is excellent in email and chat channels. However, it needs upgrades for a better user and customer experience."
"T_02413",2024-11-26,"Zoho Desk",5,5,5,5,4,8,"Organization, clarity, easy management and happiness"
"T_04660",2024-12-27,"Jira Service Management",5,3,5,5,5,7,"JIRA Service provides the right communication, and it develops appropriate conversations for companies."
"T_00462",2024-10-12,"Freshdesk",4,5,4,5,4,8,"It's a comprehensive bundle that allows us to answer any queries or concerns our clients may have. Using this program, we are better able to maintain satisfied clientele."
"T_00939",2024-10-25,"Zoho Desk",,,,,,,
"T_00813",2024-10-21,"Zendesk",,,,,,,
"T_00215",2024-10-06,"Freshdesk",,,,,,,
"T_00382",2024-10-10,"Freshdesk",,,,,,,
"T_04392",2024-12-24,"Zoho Desk",5,4,4,4,5,8,"Pros:Zoho Desk is a great tool that helps me organize the support for my company. We now work happier and our customers are happier as we answear faster!"
"T_00771",2024-10-20,"Zendesk",5,4,5,4,5,6,"Pros:- easy to learn the software without extensive training- straightforward to write and answer tickets in the system- the support team is fantastic! great experience with answering questions- love the tags feature"
"T_02229",2024-11-22,"Freshdesk",5,5,5,4,5,8,"Freshdesk is a highly performing help desk solution, with a professional issue based team that gives utmost assistance. More so, Freshdesk has articulate ticketing process, very efficient and fair for the customers requests."
"T_01592",2024-11-09,"Zendesk",,,,,,,
"T_01122",2024-10-29,"Zendesk",4,4,3,4,4,5,"Good reporting for support activities, easy to use for users, good custom field on ticket"
"T_00597",2024-10-16,"Freshdesk",5,3,4,4,4,8,"It is a project management tool designed for teams, it very easy to use. It's also very affordable and a good software to start with"
"T_00249",2024-10-07,"Zoho Desk",,,,,,,
"T_00548",2024-10-14,"otrs",,,,,,,
"T_02805",2024-12-03,"Zoho Desk",4,3,4,4,5,6,"It's positive and promising"
"T_03658",2024-12-14,"Zoho Desk",,,,,,,
"T_03052",2024-12-06,"Zoho Desk",5,5,5,5,5,9,"Pros:Works fantastically well and integrates into the rest of the Zoho suite seamlessly. To top it off the free tier is great as a basic tool."
"T_04653",2024-12-27,"Zendesk",,,,,,,
"T_02923",2024-12-04,"Zendesk",5,3,5,5,5,8,"The experience with Zendesk is very good, it has helped me to better organize the incidents, give them priority and also be able to obtain very good statistics to analyze the work of the team."
"T_00356",2024-10-09,"Zendesk",,,,,,,
"T_00075",2024-10-02,"Jira Service Management",4,3,5,4,3,8,"We've been using Jira for about 5 years now and we're still happy with the way it works. We've never had any real issues with it."
"T_01472",2024-11-07,"Freshdesk",5,2,4,4,5,8,"Within FreshDesk I solve technical problems for our clients here at Consult and Design. If there is an issue with a clients website an email will come into Freshdesk and here it will be dealt with as FreshDesk is our Support Central. I really enjoy using FreshDesk and use it daily with ease - great software."
"T_03924",2024-12-17,"Zendesk",3,2,3,3,3,3,"Pros:Zendesk makes it really easy to organize all requests no just in-house team but outside customers. Not a great fan of cloud base solutions but everyone is jumping on Virtual Servers and Cloud base solutions is like a force movement like me writing this review when Im just evaluating a solution and alternative to G Suites from Google. Workspace from Facebook calls my attention eventhou is also cloud base but is the closes in Features. Just like the Standalone version of Zendesk that we all learn too user the codes and independency of running the software on the local network overpasses any cloud base solution in my opinion. Automations and Macros are great working locally without the need of High bandwith which we can afford in USA but on other locations in the caribean is a luxury even for big business to have the bandwith we have. OOOOhh And what happens at hurricane season? when we had blackouts we still ran the Zendesk locally. An example of such dependency of cloud based systems is the Automations function doesn't flow in a similar way but are timed instead of instantaneous compare to local run version of the software. Macros allow you to update a ticket's tags, message, and other information with a click of a button. Zendesk has done a great job to make a ticketing system and keeping up the standard with the growing number of completion."
"T_03664",2024-12-14,"Zoho Desk",,,,,,,
"T_03391",2024-12-10,"Zendesk",5,3,5,4,5,9,"Much better experience that Freshchat. I faced many problem with freshchat and zendesk just made it easier for installation and support"
"T_03186",2024-12-08,"Zoho Desk",5,5,5,5,5,9,"I'm using it to Answering help desk for a self booking tool. Registering data and performing reporting to understand recurrence. Measuring client happiness."
"T_03373",2024-12-10,"Freshdesk",,,,,,,
"T_03687",2024-12-14,"Freshdesk",5,5,5,5,5,9,"Pros:This makes it very easy and convenient for us to work with all customers, vendors, new customers, sponsorships, warranties, general technical inquiries and beyond. We are a manufacturing facility that does provide our own warranty for complex automotive clutch systems. If we did not have Freshdesk, I can state we would not be a successful as we are now. We would be held back."
"T_04535",2024-12-26,"Zoho Desk",5,3,5,5,5,6,"We can manage our internal process so well by using it."
"T_02319",2024-11-24,"Zoho Desk",,,,,,,
"T_00697",2024-10-18,"Zendesk",4,1,4,1,4,7,"I've been using Zendesk for 3 years now and im content i had to downgrade my package because of the high price point but overall im happy using it!"
"T_04759",2024-12-29,"Zoho Desk",5,5,5,5,5,8,"Pros:The Dashboard helps my team organize themselves.The team is able to see their tasks, pending work and unassigned work that needs to be taken up."
"T_03065",2024-12-06,"Freshdesk",4,4,4,5,5,7,"It is a good ticketing software and has really boosted my customer support department."
"T_04544",2024-12-26,"Freshdesk",5,4,5,5,5,10,"Pros:A solution platform is what we are trying to achieve and as a startup, we were looking at a simple help desk solution with the capability to have ticketing and resolution process, end to end online. Devise independent functioning was another preference. I can proudly say that our selection of Freshdesk to address these requirements were right.It is a fine solution made with insights of extensive domain experience and hence this is not just a tool but a working solution for help desk / support.Surprisingly simple to use. Sign up, set the right parameters, attend a few training sessions/self learn and go live and a perfectly working support solution is live.Integration capability with so many useful apps further simplifies the process automation. It is a great solution if you wanted to delight the prospects/customers. I recommend Freshdesk to any forward looking businesses with a clear agenda of automating their support process."
"T_00998",2024-10-26,"Zendesk",4,3,4,4,3,6,"Es bueno para lo que vale, y para lo facil de su integracion"
"T_00922",2024-10-24,"Zendesk",4,3,4,4,4,9,"Pros:It is amazing to see what Zenhub fixes about Github, you can use it as a JIRA replacement if you want and not break a sweat!"
"T_03601",2024-12-13,"Zoho Desk",4,3,4,5,5,8,"Pros:Zoho Desk is really a great tool and the final decision after analyzing a huge number of different service desk solutions. The others couldn't convince me as good as Zoho, especially for the low price!"
"T_00108",2024-10-03,"Zendesk",,,,,,,
"T_03813",2024-12-16,"Zoho Desk",,,,,,,
"T_04828",2024-12-30,"Zoho Desk",4,2,4,4,3,6,"In these short weeks, Zoho proved to be easy to use and labor saving. Cost per agent would be an issue to consider."
"T_00005",2024-10-01,"Zoho Desk",5,4,5,5,5,9,"Super recommended tool, facilitates ticket assignment and monitoring, in addition to keeping the end user informed"
"T_02480",2024-11-27,"Zendesk",,,,,,,
"T_01890",2024-11-15,"Freshdesk",,,,,,,
"T_02538",2024-11-28,"ServiceNow",3,3,3,2,2,4,"We use service now every time a change request needs to be raised our experience has been fine but the UI is very bad."
"T_01898",2024-11-15,"Zendesk",5,3,4,5,5,7,"I can easily view and track my customer service inquiries quickly and efficiently.Sometimes I feel I need to spend a weekend to learn all that Zendesk can do for my organization.There are so many tool and resources, I cannot learn what they all can do while running my business at the sametime."
"T_02969",2024-12-05,"Zoho Desk",,,,,,,
"T_02882",2024-12-04,"Zoho Desk",5,3,5,5,5,7,"Pros:Customization is good, we can set custom rules, scalability and integration. Its meeting our basic needs of IT ticketing system and helping to manage all the task along with solutions."
"T_04674",2024-12-28,"Zoho Desk",4,3,4,5,5,8,"Great experience with the management and setup. Daily use is very simple and straight forward."
"T_02368",2024-11-25,"Zoho Desk",2,0,2,2,2,2,"Pros:Ready to go Support tool that can be implemented at any small business in a fairly short period of time."
"T_00058",2024-10-02,"Freshdesk",4,5,4,5,5,8,"It makes my job so much easier that it has become an essential tool. I can keep track and coordinate with whole team through just a few clicks."
"T_00301",2024-10-08,"Freshdesk",4,3,4,4,4,7,"Pros:Price3rd Party App Developer SupportExisting AppsNavigation/User Interface SimplicityFlexibility"
"T_04627",2024-12-27,"Freshdesk",4,2,4,5,5,7,"It is a better fit with how we work than our previous helpdesk system, whilst being a lot cheaper than JIRA or similar systems."
"T_02419",2024-11-26,"Freshdesk",,,,,,,
"T_02898",2024-12-04,"Zoho Desk",4,3,5,5,4,7,"Pros:We are using the software for our customer service team.The automatisation features are awesome and everything works very well!"
"T_04012",2024-12-19,"Zoho Desk",5,3,5,5,5,7,"Provides web-based customer support, reducing workloads and leaving our customers happy and confident in the support we provide them."
"T_02152",2024-11-20,"Zendesk",5,5,5,4,5,7,"Pros:Software is easy to use, intuitive, and it's clean design makes supporting all day a lot easier."
"T_03389",2024-12-10,"Zendesk",,,,,,,
"T_01586",2024-11-09,"Zendesk",5,4,5,5,5,9,"The ticketing system and chat have been a great addition to our website. It allowed us to provide our clients with another way to communicate with customer service when they have questions. It was very easy to install on our website and it is very easy for new employees to understand the software, so training is minimal."
"T_01855",2024-11-14,"Zendesk",,,,,,,
"T_04662",2024-12-27,"Jira Service Management",5,5,5,5,5,9,"Pros:JIRA Service Management outils gestion de IT managementpour les entreprises"
"T_04665",2024-12-27,"Jira Service Management",,,,,,,
"T_03950",2024-12-18,"Zoho Desk",,,,,,,
"T_03501",2024-12-11,"Jira Service Management",,,,,,,
"T_02250",2024-11-22,"Zendesk",,,,,,,
"T_00530",2024-10-14,"Freshdesk",,,,,,,
"T_01766",2024-11-13,"Zoho Desk",,,,,,,
"T_02777",2024-12-02,"ServiceNow",,,,,,,
"T_02908",2024-12-04,"Freshdesk",5,4,5,5,5,8,"Overall it's excellentThere are multiple option which you can use, like1) Productivity of the team on daily/monthly/weekly2) You can transfer ticket to any specific person with the specific subject line also which is a best part2) It's Cannon option is also very useful"
"T_02090",2024-11-19,"Zoho Desk",5,5,5,5,5,8,"It did a good job replacing the mode of interaction from social channels, chats, e-mails, and phone calls in one platform. The experience in raising support request by customers is a breeze. Customers also has the option to raise tickets via their native language. The platform has support for 9 languages. It's able to simplify tasks of the help them since they can enhance their ability to track every request and address them by means of priority arrangement."
"T_00072",2024-10-02,"ServiceNow",5,3,4,5,5,10,"Pros:There are few categories which i prefer above all others are ease of use, the level of customizations that it offers and the detailed reporting it provides."
"T_02410",2024-11-26,"Zoho Desk",5,4,4,5,5,9,"We maintain a register of requests and quickly build monthly reports"
"T_03118",2024-12-07,"Zoho Desk",4,1,5,5,3,8,"it solves almost every dimension of the customer support"
"T_03881",2024-12-17,"Zoho Desk",,,,,,,
"T_04716",2024-12-28,"Zendesk",,,,,,,
"T_03397",2024-12-10,"Zendesk",1,0,1,1,1,1,"Pros:La documentation exhaustive sur internet"
"T_01938",2024-11-16,"Freshdesk",,,,,,,
"T_01793",2024-11-13,"Zendesk",,,,,,,
"T_01535",2024-11-08,"Freshdesk",5,3,4,5,5,8,"We have several team members and with Freshdesk we can back each other up when someone is too busy or out of the office.It is nice to know that our customers will be helped by someone in a timely manner."
"T_03556",2024-12-12,"Zendesk",5,4,4,3,5,7,"Pros:There are many wonderful things about the suit, but the first that comes to mind is undoubtedly the excellent customer support experience. Every time I've had a problem and gotten in touch with the product support team, I was able to receive answers and solutions to my questions very quickly and with satisfactory answers.This is a perfect tool and very easy to use. The FAQs are very helpful as most of the questions are already answered."
"T_03890",2024-12-17,"Zoho Desk",4,2,3,4,4,7,"Control over a difficult implementation. Ease of communication with customers and partenrs."
"T_00650",2024-10-17,"Zendesk",,,,,,,
